tweet_id,text,favorite_count,retweet_count,created_at
1516176751294038033,SaboorKakar11 FreeEagle LALMALHI MaryamNSharif Who are we PTI BOTSWhat do we do Make Trends,0,0,Mon Apr 18 22:08:01 +0000 2022
1516176720499519490,NaveedAmughal FreeEagle WajidKJ Who are we PTI BOTSWhat do we do Make Trends What our,0,0,Mon Apr 18 22:07:54 +0000 2022
1516176648575627267,syedGardezi7 HassanJ8211 Who are we PTI BOTSWhat do we do Make Trends What our hashtag is,0,0,Mon Apr 18 22:07:36 +0000 2022
1516176577830211584,MaryamNSharif Who are we PTI BOTSWhat do we do Make Trends What our hashtag is,0,0,Mon Apr 18 22:07:20 +0000 2022
1516175203725975565,iihtishamm Ye sb hm Bots ki mehnat ki kamai hai wonder how come MarriyumA come up with such silly logics,0,0,Mon Apr 18 22:01:52 +0000 2022
1516174960548589568,Some BOT dance for us Robots Baby do you love me RobotsofKhan bots of PTI,1,1,Mon Apr 18 22:00:54 +0000 2022
1516174485463961606,ShireenMazari1 she is the most aggressive PTI Bot right now crushing everything in her way,0,1,Mon Apr 18 21:59:01 +0000 2022
1516174221206073356,Security checking MinarePakistan jalsa21aprilminarepakistan PTI imrankhanPTI,0,0,Mon Apr 18 21:57:58 +0000 2022
1516174184778399744,awaissaleem77 These are all PTI amp SKMTH office bearers,0,0,Mon Apr 18 21:57:49 +0000 2022
1516173251776548873,ShkhRasheed Sheikh Sahib cleverly worded in Awami Muslim League with out a word of PTI government or imrankhan,1,0,Mon Apr 18 21:54:07 +0000 2022
1516172866580262913,pmlnorg hinaparvezbutt MarriyumA Yes we as a publicnation will decide we wont let you decide anymore do,0,0,Mon Apr 18 21:52:35 +0000 2022
1516172734182666243,RealMikeWilbon reds pti Johnny Vander Meer pitched in the major leagues,0,0,Mon Apr 18 21:52:03 +0000 2022
1516172730864918535,ImranRiazKhan27 We want reverse of all the acts their dishonesty with the people of Pakistan,0,0,Mon Apr 18 21:52:02 +0000 2022
